file,return_code,pnl,stdout_tail,stderr_tail
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b3.py,0,281902.0,"0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,955
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 95,264

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 12,129
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 92,531

Profit summary:
Round 1 day -2: 94,108
Round 1 day -1: 95,264
Round 1 day 0: 92,531
Total profit: 281,902",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b5.py,0,279920.0,"0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,858
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,167

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 11,367
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,769

Profit summary:
Round 1 day -2: 93,984
Round 1 day -1: 94,167
Round 1 day 0: 91,769
Total profit: 279,920",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b3.py,0,280727.0,"0p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,487
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,796

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 11,755
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 92,157

Profit summary:
Round 1 day -2: 93,774
Round 1 day -1: 94,796
Round 1 day 0: 92,157
Total profit: 280,727",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b5.py,0,277862.0,"0p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 12,892
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 93,201

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb0p4_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 10,885
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,287

Profit summary:
Round 1 day -2: 93,374
Round 1 day -1: 93,201
Round 1 day 0: 91,287
Total profit: 277,862",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b3.py,0,277874.0,"p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 15,038
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 95,347

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 7,636
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 88,038

Profit summary:
Round 1 day -2: 94,488
Round 1 day -1: 95,347
Round 1 day 0: 88,038
Total profit: 277,874",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b5.py,0,279718.0,"0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,977
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,286

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 11,017
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,419

Profit summary:
Round 1 day -2: 94,012
Round 1 day -1: 94,286
Round 1 day 0: 91,419
Total profit: 279,718",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b3.py,0,281148.0,"0p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,607
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,916

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 11,576
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,978

Profit summary:
Round 1 day -2: 94,254
Round 1 day -1: 94,916
Round 1 day 0: 91,978
Total profit: 281,148",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b5.py,0,277907.0,"0p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 13,087
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 93,396

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p3_t30p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 10,752
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,154

Profit summary:
Round 1 day -2: 93,357
Round 1 day -1: 93,396
Round 1 day 0: 91,154
Total profit: 277,907",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b3.py,0,276988.0,"p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,405
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,714

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 7,724
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 88,126

Profit summary:
Round 1 day -2: 94,148
Round 1 day -1: 94,714
Round 1 day 0: 88,126
Total profit: 276,988",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b5.py,0,278482.0,"0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 12,816
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 93,125

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l10m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 11,213
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,615

Profit summary:
Round 1 day -2: 93,742
Round 1 day -1: 93,125
Round 1 day 0: 91,615
Total profit: 278,482",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b3.py,0,280617.0,"0p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,353
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 94,662

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 11,705
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 92,107

Profit summary:
Round 1 day -2: 93,848
Round 1 day -1: 94,662
Round 1 day 0: 92,107
Total profit: 280,617",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b5.py,0,276844.0,"0p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day -1
ASH_COATED_OSMIUM: 12,231
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 92,540

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te1p0_ema1p1_imb1p2_zm0p9_t30p0_mom0p0_curv0p0_l8m5m3_b5.py on round 1 day 0
ASH_COATED_OSMIUM: 10,665
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 91,067

Profit summary:
Round 1 day -2: 93,237
Round 1 day -1: 92,540
Round 1 day 0: 91,067
Total profit: 276,844",
osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te2p0_ema0p4_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b3.py,0,278340.0,"p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day -1
ASH_COATED_OSMIUM: 14,945
INTARIAN_PEPPER_ROOT: 80,309
Total profit: 95,254

Backtesting C:\quant-hacks\imc-prosperity26\generated_osmium_variants\osmium_variant_EMA_soft35_spr12_qg0p4_tg2p2_te2p0_ema0p4_imb0p4_zm0p3_t30p0_mom0p0_curv0p0_l10m5m3_b3.py on round 1 day 0
ASH_COATED_OSMIUM: 7,835
INTARIAN_PEPPER_ROOT: 80,402
Total profit: 88,237

Profit summary:
Round 1 day -2: 94,850
Round 1 day -1: 95,254
Round 1 day 0: 88,237
Total profit: 278,340",
